id,prediction
225096,0
220040,0
26535,1
77272,1
193584,0
239056,0
237967,1
47362,1
225452,0
72809,0
84014,0
92076,1
19827,0
163304,1
62938,0
137547,0
13374,0
176608,1
60008,0
105778,0
195690,0
171528,1
171334,1
116596,0
179935,0
11485,0
64935,1
86990,1
18373,1
210480,0
140537,0
63798,1
208381,0
98658,0
101536,0
58255,0
164304,1
72596,0
61553,0
247085,1
180429,0
16257,0
82010,1
140437,0
27767,0
112934,1
136882,1
50282,0
172073,1
209599,1
58728,1
183656,0
22077,0
77144,1
183966,0
189152,0
221331,1
213895,0
131287,0
128253,0
106740,0
94863,0
179557,1
242651,1
28319,0
78121,0
29401,1
230214,1
202794,0
54047,0
44530,0
190410,0
125164,0
114706,1
150276,1
44252,0
231577,1
188405,0
183162,0
248614,1
34600,1
149830,0
70684,0
10030,0
235480,1
240637,1
88245,0
5239,0
22690,0
97192,1
168486,0
52867,1
128298,0
221904,0
14180,0
228685,0
109888,0
195298,0
52902,0
160878,0
229615,0
220351,0
187112,0
178517,1
31731,0
109293,1
239152,1
183117,1
71697,1
172850,1
117502,1
51767,0
124581,0
169363,0
101165,0
63721,1
172112,1
17083,0
205241,0
178332,0
101069,0
198365,1
194890,1
99983,1
63837,0
220559,0
147258,0
53816,1
219565,1
27866,1
238243,0
235114,1
228370,0
129593,0
150651,1
247427,0
64006,0
155154,1
138188,1
198809,0
113826,1
62744,0
223271,0
222175,0
166643,0
124498,1
245614,1
226911,0
189367,0
13586,1
50860,0
61924,0
141864,0
72790,0
248775,0
86896,1
134227,1
41788,0
78053,0
135309,1
9604,0
203848,0
218575,1
98558,0
2297,1
117737,0
227695,1
151025,0
99986,0
12162,1
9225,1
72536,0
174969,1
49102,1
107261,0
246276,0
96915,1
140614,1
10070,0
179597,0
14954,0
166780,0
98599,0
76289,0
118501,0
97059,0
156361,0
132300,1
150921,0
158253,0
149989,0
33021,0
22622,0
20809,0
185471,0
92871,0
213370,0
112041,0
122511,0
120352,1
179406,0
95080,0
150329,0
103059,0
12048,0
34409,0
67288,0
126151,0
246612,0
190145,0
15151,0
111375,1
101502,0
88313,0
219831,0
70682,0
212373,0
239456,0
39437,0
139349,0
209522,0
6113,0
188993,0
200542,0
15273,0
15564,0
8760,0
31881,1
49791,1
161962,1
181327,1
106332,0
172208,1
9947,0
61706,0
215526,1
66688,0
111785,1
156591,0
189379,1
138717,0
125504,0
171202,1
35612,1
248562,1
226315,1
423,0
75771,0
223686,0
160155,1
133103,0
39495,0
201564,1
184781,0
104620,0
234957,0
112887,0
83500,1
125601,0
33299,1
175731,1
248745,0
202520,1
67618,1
123621,1
175857,0
49285,1
192476,0
190499,1
102485,1
122499,1
194192,1
150751,1
202245,1
164039,0
72410,1
155465,0
61435,1
236193,1
101615,0
144185,0
53184,0
147998,1
67567,0
26004,0
178890,0
233899,0
9178,1
224827,0
248942,1
143710,0
94861,1
86296,1
3264,1
56968,1
54275,0
94881,0
147847,1
84157,1
230023,0
86635,0
72050,1
7495,0
183045,0
222809,0
78758,1
230406,0
22122,1
73354,0
133503,1
113953,0
22606,0
100136,0
64639,0
143429,0
153918,0
199253,0
240178,1
193421,0
211008,0
215391,0
109353,1
58750,1
87188,0
99001,0
220671,0
174817,1
80794,0
74297,1
45305,0
229021,0
197105,1
132024,1
38235,1
4048,0
65856,1
85786,0
162409,0
118028,0
17091,0
176281,0
40460,0
100857,0
97629,0
177178,0
146587,0
12090,0
40899,0
183933,1
183209,0
74321,0
47930,0
233611,0
20807,0
140357,1
224371,1
66015,0
200684,0
205859,0
102351,0
191859,0
71037,0
207833,0
80421,1
200443,0
181778,0
167235,0
61083,1
155078,1
72520,0
237956,0
147408,1
205361,0
159979,0
107777,0
50686,0
74282,0
139420,0
137247,0
113735,0
7952,1
73578,1
72857,0
38295,0
233642,0
241418,0
195638,1
67937,1
59828,0
73398,0
236640,1
110346,1
66986,0
43856,0
189889,0
151396,0
22762,1
200044,0
121378,1
118427,0
65981,0
117333,1
69883,0
151981,0
14253,0
199852,0
35487,1
91856,0
96953,0
15106,0
8344,1
39210,0
60431,0
107237,0
52025,0
245503,0
111201,1
115084,1
81047,0
51472,0
196958,0
17443,1
162540,0
115146,0
117845,0
89286,1
163271,1
117914,1
187272,0
226086,1
215367,1
96638,1
65639,0
239552,1
83663,1
86622,0
19780,0
156329,0
129922,0
242272,1
26116,0
204672,0
207760,1
130856,0
238479,0
59632,0
64156,0
29849,1
210101,0
102738,0
216994,1
79295,1
34005,1
170407,0
102240,1
83403,0
74046,1
14173,1
121291,1
194277,0
76407,1
240131,1
61361,0
34569,0
48551,0
44056,0
138298,0
102568,0
243383,0
136159,1
188500,0
70620,0
101089,1
104866,0
34490,0
96972,1
77220,1
35557,1
139079,0
196639,1
96272,1
49954,0
35400,1
196257,0
44117,0
153752,0
53219,0
225226,1
56852,0
3492,1
72378,0
206943,0
126607,0
77466,0
158524,1
150141,0
191400,0
49644,0
32816,0
10638,1
207506,1
214835,1
54424,0
98396,0
149259,1
5889,0
61533,1
187946,1
199438,0
166724,0
129491,0
54321,0
147853,0
144872,0
32759,0
28344,1
212838,0
131272,0
234947,1
234515,1
30364,1
17284,0
188909,0
100874,1
98553,0
241090,0
22251,0
224498,1
179518,0
79920,1
106589,0
106406,0
249,0
61245,1
246454,0
115287,0
16170,1
63370,1
243952,1
120257,0
181000,1
110871,0
83566,1
124431,1
220594,1
49030,1
125468,0
16020,0
240407,1
18495,0
145612,0
129148,0
7094,0
24775,0
107436,0
159272,0
34825,0
224423,0
109508,0
75859,0
74678,0
221741,0
138305,0
36954,1
94944,0
149981,1
31377,0
187445,0
190448,0
114878,0
197734,1
30150,0
160952,0
94003,0
147214,1
215721,0
192741,0
56827,1
131330,0
245875,1
156972,0
74309,1
188477,0
158914,1
165960,0
49419,0
136855,0
110108,1
241239,0
132022,0
19643,0
130827,1
199541,0
18235,0
104428,0
185119,0
12951,0
55864,1
142346,0
66768,0
43195,0
249337,0
42036,0
