ID,prediction
1-35972079318,0
1-34716644135,0
1-35386843231,0
1-34839475238,0
1-35362151316,0
2-36023328335,0
1-34679999199,0
1-35277445593,0
1-35607156135,0
1-34957820797,0
1-34623429784,0
2-36091079896,0
1-35419733873,0
1-35189190560,0
1-34563869437,0
1-34943381870,0
1-35538039821,0
1-34904445464,0
1-34913119505,0
1-34674384838,0
1-35191243438,0
1-34654774884,0
1-35626707338,0
1-34589565713,0
1-34729542673,0
1-35029642795,0
1-35824171505,0
1-35573168889,0
1-35342347610,0
1-35498837521,0
1-34682036167,0
2-35735036289,0
1-34655986530,0
1-35987034207,0
1-34753257403,0
1-35195800097,0
1-35027690111,0
1-34887912214,0
1-35171837001,0
1-36212531296,0
1-35181247552,0
1-35134317005,0
1-34544568457,0
1-34715749614,0
1-34965577893,0
1-36065254650,0
1-34512089581,0
1-35736284602,0
1-34573432445,0
1-34463956387,0
1-34755419460,0
1-35247858061,0
2-35908025716,0
1-36082661435,0
1-36171142375,0
1-34728486271,0
1-36166171039,0
1-34744188152,0
1-34507830310,0
1-36135080713,0
1-36166986474,0
1-34902680257,0
1-35130702686,0
2-34461794492,0
1-35705675913,0
1-35679825212,0
1-35319697875,0
1-35971507848,0
1-35338006141,0
1-35721041225,0
1-35057695044,0
3-34774739870,0
1-35786072140,0
2-35805256725,0
1-35284930948,0
2-35896849158,0
1-35125087812,0
1-35170643770,0
2-35855217007,0
1-35416528204,0
1-36215765133,0
1-35929309856,0
1-35626284775,0
1-34573951602,0
1-35273607810,0
1-34478415769,0
1-34676577392,0
1-36211497782,0
1-35975089273,0
1-35956013223,0
2-35993984957,0
1-36223192535,0
1-36112356694,0
3-34801201514,0
1-34706509750,0
1-34953314593,0
1-36079900326,0
1-34915570929,0
1-35623686092,0
1-35933664655,0
1-35356741597,0
2-34722822826,0
1-35823725400,0
1-36284854452,0
1-36187699998,0
1-34853453424,0
1-34531153450,0
1-35685992686,0
1-35210785443,0
1-34949799985,0
3-34796523745,0
1-35607963688,0
1-35382422831,0
1-35637965151,0
1-35652008299,0
1-35208115168,0
1-35323341989,0
1-35518106432,0
1-35956853852,0
1-34745285103,0
3-34756536842,0
1-35018788542,0
1-35392060813,0
1-35484020928,0
1-35122341466,0
1-35518606238,0
1-35590728395,0
1-35081123245,0
1-34629998085,0
1-36022556820,0
1-35662123495,0
1-34897542864,0
1-34684968937,0
1-34846122769,0
1-35558693320,0
1-35069633390,0
1-35688023399,0
1-35838969105,0
1-35960786233,0
1-35632219648,0
1-35149732771,0
1-35201499133,0
2-35872669858,0
2-35804031957,0
1-35679736747,0
1-34711652165,0
1-35952613285,0
1-34755104346,0
1-34471153811,0
1-35020626594,0
2-35887561090,0
1-35246757069,0
2-35865559482,0
1-35819715163,0
1-35590641972,0
1-35082625874,0
1-34723583116,0
1-34494885219,0
1-34542459584,0
1-35730362673,0
1-36189345608,0
1-35757487453,0
1-35542036988,0
1-35523462439,0
1-34860548780,0
1-35250118296,0
2-34785915574,0
1-34899811686,0
1-34643081982,0
1-36277662866,0
1-34470802489,0
2-35898042429,0
1-35536329979,0
1-35596342919,0
1-36042880294,0
1-36092594976,0
1-35406864386,0
1-36116053002,0
1-36079724677,0
1-35249004717,0
1-34681881433,0
1-35101918886,0
1-35487037380,0
1-35175670042,0
1-34957772440,0
1-36094876314,0
1-35236930261,0
1-35276313194,0
1-36046007024,0
1-35685246183,0
1-34664485370,0
1-36253278497,0
1-34839168016,0
1-36160690700,0
1-34493392825,0
1-36264037563,0
3-34757439650,0
1-35315434842,0
2-35881589608,0
1-35401202624,0
1-35207138575,0
1-34903654598,0
1-36137876967,0
1-34979613449,0
1-34630862504,0
1-35505736410,0
1-35380520648,0
3-34772677584,0
1-34983493810,0
1-34968597597,0
3-34800651930,0
2-36159072574,0
1-35468861678,0
1-36099316990,0
1-35241550184,0
2-35732977588,0
1-34533917820,0
1-36148380302,0
1-35434435864,0
1-35005276557,0
1-35765571935,0
1-35004872289,0
1-35462149151,0
1-36066407800,0
1-36054141480,0
1-35114940538,0
1-35139997588,0
1-34949080119,0
1-34480137170,0
1-35237259494,0
1-36053092623,0
1-35411825286,0
1-35184761589,0
1-34466003658,0
3-34764341066,0
3-34776534066,0
1-36011970344,0
1-34970681905,0
1-35607246077,0
1-35185683391,0
1-35189879809,0
1-35710598077,0
1-35149648633,0
1-34949188860,0
1-34897448280,0
3-34781884528,0
1-35455988845,0
3-34767126762,0
1-36190220884,0
1-35267017903,0
2-35624811873,0
1-34846653891,0
1-34497798008,0
1-35995566736,0
2-36228372424,0
1-35711045656,0
1-35448803505,0
1-35143733802,0
1-35566337219,0
2-35982889115,0
1-35720637611,0
1-35565696324,0
1-34746849485,0
2-34739573861,0
1-34729991605,0
1-34491840036,0
1-35255622662,0
1-35032725466,0
1-35172205249,0
1-35557747463,0
1-35128300988,0
1-35287576408,0
1-35619934800,0
1-35279003907,0
1-35549449641,0
1-35551858769,0
1-35515045068,0
1-35744042618,0
1-35631779502,0
1-34669976935,0
1-35996402778,0
1-35278695638,0
1-35542243833,0
1-35529304448,0
3-34778421593,0
1-34712418955,0
1-35561866317,0
2-35881736066,0
1-35122071275,0
1-36107038317,0
1-35283569657,0
1-35490350747,0
2-35891826041,0
1-35652740349,0
1-34716714047,0
1-35329157775,0
1-35698749021,0
1-35278368886,0
1-35635096691,0
1-35536675546,0
1-36126519353,0
1-35846456713,0
1-34584525346,0
2-35610051483,0
1-34566628125,0
1-35010081578,0
1-34643133001,0
1-35117723208,0
1-35526544001,0
1-35413453846,0
1-34835629226,0
1-35584726501,0
1-35411583300,0
1-35512655549,0
2-34785635315,0
1-34841024294,0
3-34797523232,0
3-34764449732,0
1-36048135305,0
1-35774169428,0
1-34825087900,0
1-34649416606,0
1-36027593656,0
1-34553495397,0
1-35841476398,0
1-35118908420,0
1-35409199756,0
3-34768283269,0
1-35300798790,0
1-34819941830,0
1-36004377029,0
1-36248006188,0
1-36177732629,0
1-35343784699,0
1-35278670821,0
1-36120944982,0
1-34817150709,0
1-35986393140,0
2-35143020453,0
1-35120617178,0
2-35867397145,0
1-35064489947,0
1-36030411894,0
1-34608876606,0
3-34801160201,0
1-35184319743,0
1-34605644209,0
1-36090260623,0
1-36017728560,0
1-35647584248,0
3-34756665097,0
1-36267258776,0
1-34875275663,0
1-35605523173,0
3-34765495168,0
1-36106844769,0
1-35513158920,0
1-36238961285,0
1-34621442320,0
1-34922623828,0
1-36065785049,0
1-35433399839,0
1-34522324811,0
1-36033906316,0
1-35665341502,0
1-34616850580,0
1-35191227879,0
1-35814235617,0
1-35516658050,0
1-35586267177,0
1-35820273421,0
1-34599297731,0
1-35476287729,0
1-35762009798,0
1-34750759709,0
1-35191510506,0
1-34633355961,0
1-34575848755,0
1-34532054565,0
3-36041952527,0
1-34871370586,0
1-35522263433,0
1-35178847272,0
1-35108251098,0
1-34667967668,0
1-35566691169,0
3-35269210199,0
1-35264911790,0
1-35425197789,0
1-34882078277,0
1-34967229822,0
1-35725898121,0
1-35014581905,0
1-34500742989,0
1-35593238147,0
2-35531061478,0
1-34708798255,0
1-34557146988,0
1-34667220140,0
1-34565972855,0
1-34689398817,0
1-35095162120,0
1-34728757595,0
1-35193447602,0
1-35126943221,0
1-36222231695,0
1-35599450282,0
1-34546699659,0
1-34497902151,0
1-35926442468,0
1-34499445419,0
1-34948626221,0
1-35466625392,0
1-36153688652,0
1-34997362420,0
1-34839560589,0
1-34952531463,0
1-35706656544,0
3-34768065442,0
1-35260697783,0
1-35111835953,0
1-35739564821,0
1-35519631034,0
3-35269409186,0
1-36142290156,0
1-36233900863,0
